country,category,category_id,pages,total_results,videos,distinct_channels,shorts,short_channels,error
CH,News & Politics,25,4,178,177,177,24,24,
CH,Howto & Style,26,4,200,200,200,192,192,
CH,Education,27,0,,0,0,0,0,HTTP 404
CH,Tech,28,3,134,134,134,83,83,
CH,Nonprofits,29,0,,0,0,0,0,HTTP 404
AT,(generale),,4,200,199,199,27,27,
AT,Film & Animation,1,4,200,200,200,182,182,
AT,Autos & Vehicles,2,4,200,200,200,169,169,
AT,Music,10,1,30,30,27,12,10,
AT,Pets & Animals,15,4,200,200,200,200,200,
AT,Sports,17,4,200,200,200,182,182,
AT,Travel & Events,19,0,,0,0,0,0,HTTP 404
AT,Gaming,20,4,200,199,199,11,11,
AT,People & Blogs,22,1,18,18,18,2,2,
AT,Comedy,23,4,200,199,199,193,193,
AT,Entertainment,24,4,200,200,200,185,185,
AT,News & Politics,25,3,143,143,143,27,27,
AT,Howto & Style,26,4,200,200,200,195,195,
AT,Education,27,0,,0,0,0,0,HTTP 404
AT,Tech,28,3,115,115,115,77,77,
AT,Nonprofits,29,0,,0,0,0,0,HTTP 404
BE,(generale),,4,200,199,199,23,23,
BE,Film & Animation,1,4,200,200,200,183,183,
BE,Autos & Vehicles,2,4,200,200,200,166,166,
BE,Music,10,1,30,30,28,8,8,
BE,Pets & Animals,15,4,200,200,200,198,198,
BE,Sports,17,4,200,200,200,185,185,
BE,Travel & Events,19,0,,0,0,0,0,HTTP 404
BE,Gaming,20,3,120,119,119,3,3,
BE,People & Blogs,22,1,16,16,16,0,0,
BE,Comedy,23,4,200,199,199,192,192,
BE,Entertainment,24,4,200,200,200,185,185,
BE,News & Politics,25,4,182,182,182,31,31,
BE,Howto & Style,26,4,200,200,200,188,188,
BE,Education,27,0,,0,0,0,0,HTTP 404
BE,Tech,28,3,106,106,106,81,81,
BE,Nonprofits,29,0,,0,0,0,0,HTTP 404
PT,(generale),,4,200,200,200,43,43,
PT,Film & Animation,1,4,200,200,200,197,197,
PT,Autos & Vehicles,2,4,200,200,200,174,174,
PT,Music,10,1,30,30,28,10,10,
PT,Pets & Animals,15,4,200,200,200,199,199,
PT,Sports,17,4,200,200,200,178,178,
PT,Travel & Events,19,0,,0,0,0,0,HTTP 404
PT,Gaming,20,2,99,98,98,3,3,
PT,People & Blogs,22,1,5,5,5,0,0,
PT,Comedy,23,4,200,200,200,191,191,
PT,Entertainment,24,4,200,200,200,197,197,
PT,News & Politics,25,3,140,140,140,14,14,
PT,Howto & Style,26,4,200,200,200,190,190,
PT,Education,27,0,,0,0,0,0,HTTP 404
PT,Tech,28,3,107,107,107,84,84,
PT,Nonprofits,29,0,,0,0,0,0,HTTP 404
IE,(generale),,4,200,200,200,58,58,
IE,Film & Animation,1,4,200,200,200,196,196,
IE,Autos & Vehicles,2,4,200,200,200,155,155,
IE,Music,10,1,30,30,30,9,9,
IE,Pets & Animals,15,4,200,200,200,197,197,
IE,Sports,17,4,200,200,200,177,177,
IE,Travel & Events,19,0,,0,0,0,0,HTTP 404
IE,Gaming,20,3,114,113,113,8,8,
IE,People & Blogs,22,1,12,12,12,1,1,
IE,Comedy,23,4,200,200,200,195,195,
IE,Entertainment,24,4,200,200,200,197,197,
IE,News & Politics,25,4,177,177,177,39,39,
IE,Howto & Style,26,4,200,200,200,190,190,
IE,Education,27,0,,0,0,0,0,HTTP 404
IE,Tech,28,1,48,48,48,35,35,
IE,Nonprofits,29,0,,0,0,0,0,HTTP 404
NZ,(generale),,4,200,200,200,47,47,
NZ,Film & Animation,1,4,200,200,200,191,191,
NZ,Autos & Vehicles,2,4,200,200,200,137,137,
NZ,Music,10,1,30,30,27,10,9,
NZ,Pets & Animals,15,4,200,200,200,198,198,
NZ,Sports,17,4,200,200,200,171,171,
NZ,Travel & Events,19,0,,0,0,0,0,HTTP 404
NZ,Gaming,20,3,102,102,102,3,3,
NZ,People & Blogs,22,1,8,8,8,1,1,
NZ,Comedy,23,4,200,200,200,193,193,
NZ,Entertainment,24,4,200,200,200,198,198,
NZ,News & Politics,25,4,164,164,164,17,17,
NZ,Howto & Style,26,4,200,200,200,184,184,
NZ,Education,27,0,,0,0,0,0,HTTP 404
NZ,Tech,28,2,54,54,54,39,39,
NZ,Nonprofits,29,0,,0,0,0,0,HTTP 404
CL,(generale),,4,200,200,200,18,18,
CL,Film & Animation,1,4,200,200,200,195,195,
CL,Autos & Vehicles,2,4,200,200,200,192,192,
CL,Music,10,1,30,30,29,6,6,
CL,Pets & Animals,15,4,200,200,200,198,198,
CL,Sports,17,4,200,200,200,189,189,
CL,Travel & Events,19,0,,0,0,0,0,HTTP 404
CL,Gaming,20,4,154,153,153,4,4,
CL,People & Blogs,22,1,6,6,6,1,1,
CL,Comedy,23,4,200,200,200,196,196,
CL,Entertainment,24,4,200,200,200,196,196,
CL,News & Politics,25,4,152,152,152,38,38,
CL,Howto & Style,26,4,200,200,200,198,198,
CL,Education,27,0,,0,0,0,0,HTTP 404
CL,Tech,28,4,176,175,175,137,137,
CL,Nonprofits,29,0,,0,0,0,0,HTTP 404
CO,(generale),,4,200,199,199,10,10,
CO,Film & Animation,1,4,200,200,200,194,194,
CO,Autos & Vehicles,2,4,200,200,200,185,185,
CO,Music,10,1,30,30,25,5,5,
CO,Pets & Animals,15,4,200,200,200,199,199,
CO,Sports,17,4,200,200,200,189,189,
CO,Travel & Events,19,0,,0,0,0,0,HTTP 404
CO,Gaming,20,3,142,141,141,3,3,
CO,People & Blogs,22,1,5,5,5,2,2,
CO,Comedy,23,4,200,200,200,196,196,
CO,Entertainment,24,4,200,200,200,196,196,
CO,News & Politics,25,3,113,113,113,48,48,
CO,Howto & Style,26,4,200,200,200,199,199,
CO,Education,27,0,,0,0,0,0,HTTP 404
CO,Tech,28,4,192,191,191,143,143,
CO,Nonprofits,29,0,,0,0,0,0,HTTP 404
PH,(generale),,4,200,198,198,8,8,
