channel_key,upload_rank,age_days
f47abe4aa62d,4,1.79
f47abe4aa62d,5,1.88
f47abe4aa62d,6,1.99
f47abe4aa62d,7,2.38
f47abe4aa62d,8,3.88
f47abe4aa62d,9,4.22
f47abe4aa62d,10,6.21
f47abe4aa62d,11,6.91
f47abe4aa62d,12,7.21
f47abe4aa62d,13,7.86
f47abe4aa62d,14,9.16
f47abe4aa62d,15,9.68
f47abe4aa62d,16,9.95
f47abe4aa62d,17,11.21
f47abe4aa62d,18,12.7
f47abe4aa62d,19,12.84
f47abe4aa62d,20,13.83
f47abe4aa62d,21,14.7
f47abe4aa62d,22,14.94
f47abe4aa62d,23,15.81
f47abe4aa62d,24,16.2
f47abe4aa62d,25,16.93
f47abe4aa62d,26,17.32
f47abe4aa62d,27,18.09
f47abe4aa62d,28,18.82
f47abe4aa62d,29,19.18
f47abe4aa62d,30,19.9
f47abe4aa62d,31,20.23
f47abe4aa62d,32,20.96
f47abe4aa62d,33,21.43
f47abe4aa62d,34,22.72
f47abe4aa62d,35,23.04
f47abe4aa62d,36,23.66
f47abe4aa62d,37,24.07
f47abe4aa62d,38,25.83
f47abe4aa62d,39,26.2
f47abe4aa62d,40,26.85
f47abe4aa62d,41,27.84
f47abe4aa62d,42,28.89
f47abe4aa62d,43,29.78
f47abe4aa62d,44,30.16
f47abe4aa62d,45,30.78
f47abe4aa62d,46,31.13
f47abe4aa62d,47,31.85
f47abe4aa62d,48,32.17
f47abe4aa62d,49,32.8
f47abe4aa62d,50,33.03
edf0a8e99473,1,0.42
edf0a8e99473,2,0.44
edf0a8e99473,3,2.74
edf0a8e99473,4,3.73
edf0a8e99473,5,4.36
edf0a8e99473,6,4.38
edf0a8e99473,7,4.4
edf0a8e99473,8,4.4
edf0a8e99473,9,4.44
edf0a8e99473,10,5.42
edf0a8e99473,11,5.44
edf0a8e99473,12,6.44
edf0a8e99473,13,7.42
edf0a8e99473,14,7.44
edf0a8e99473,15,8.44
edf0a8e99473,16,9.44
edf0a8e99473,17,9.73
